V1	Mix1_1	Placenta_1	Liver_1	Mix2_1	Placenta_2	Mix2_2	Liver_2	Placenta_3	Brain_1	Mix1_2	Brain_2	Mix2_3	Mix1_3	Liver_3
let-7a-2-3p	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
let-7a-3p	4	6	2	3	6	4	4	3	10	5	7	2	2	5
let-7a-5p	2409	762	842	1766	1103	1787	742	770	7251	2222	3152	1259	934	750
let-7b-3p	5	NA	2	4	1	2	2	1	22	3	6	3	NA	3
let-7b-5p	553	62	157	411	123	452	144	82	1515	446	693	337	218	152
let-7c-5p	689	87	188	492	178	530	165	117	1943	557	875	406	270	185
let-7d-3p	8	1	NA	6	NA	7	NA	NA	22	2	17	1	NA	NA
let-7d-5p	87	8	27	100	13	67	18	23	381	72	168	63	33	26
let-7e-3p	2	NA	NA	1	NA	NA	NA	NA	4	1	3	NA	1	NA
let-7e-5p	1629	554	454	1103	831	1166	412	565	4483	1500	2002	809	649	422
let-7f-2-3p	1	1	1	NA	1	NA	NA	NA	6	2	2	3	1	NA
let-7f-5p	500	167	319	432	197	436	290	137	1789	494	740	299	194	266
let-7g-3p	1	NA	NA	3	NA	NA	NA	NA	8	1	3	NA	2	NA
let-7g-5p	607	177	225	434	171	375	247	123	1633	519	687	304	215	245
let-7i-3p	1	NA	NA	NA	NA	1	NA	1	NA	2	3	2	NA	NA
let-7i-5p	605	177	224	427	173	370	245	122	1619	512	677	303	213	235
miR-1	18	26	1	7	22	7	1	17	15	19	8	7	13	1
miR-100-5p	607	326	170	346	344	287	168	338	1302	461	540	233	241	185
miR-101-3p	365	295	173	242	224	272	184	137	826	407	376	132	133	162
miR-101-5p	3	5	1	4	1	4	4	2	12	4	6	3	NA	NA
miR-103a-2-5p	2	NA	NA	NA	NA	1	1	1	1	1	1	1	NA	NA
miR-103a-3p	587	230	159	320	276	321	149	276	1390	394	563	233	226	157
miR-105-3p	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
miR-105-5p	1	NA	NA	NA	NA	NA	NA	NA	2	NA	1	NA	NA	NA
miR-106a-5p	127	139	66	66	84	52	68	97	97	97	62	34	36	52
miR-106b-3p	1	NA	1	1	3	1	2	1	2	2	1	1	NA	2
miR-106b-5p	118	104	20	60	76	62	39	69	134	101	70	38	57	23
miR-107	587	230	159	320	276	321	149	276	1389	394	563	233	226	157
miR-10a-5p	57	39	37	13	35	17	44	33	8	44	4	9	29	43
miR-10b-5p	57	39	39	13	34	17	44	33	8	44	4	9	29	43
miR-1185-1-3p	5	2	NA	NA	2	3	NA	5	2	8	1	NA	1	NA
miR-1185-2-3p	5	2	NA	NA	2	3	NA	5	2	8	1	NA	1	NA
miR-1185-5p	4	1	NA	2	2	NA	NA	2	10	2	5	2	1	NA
miR-1197	2	NA	NA	1	1	NA	NA	2	1	1	NA	NA	2	NA
miR-122-3p	8	NA	23	6	NA	3	39	NA	NA	9	NA	5	4	28
miR-122-5p	1743	NA	5604	926	NA	815	4878	NA	1	1361	3	521	556	3549
miR-1226-3p	4	1	NA	NA	NA	NA	NA	NA	2	1	2	NA	NA	NA
miR-1226-5p	2	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA
miR-1231	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
miR-1237-3p	1	NA	NA	NA	NA	1	NA	NA	1	NA	NA	NA	NA	NA
miR-124-3p	2122	NA	NA	2279	NA	1904	NA	NA	11927	1789	4694	1384	698	NA
miR-124-5p	3	NA	NA	NA	NA	2	NA	NA	14	2	7	1	NA	NA
miR-1247-5p	7	4	NA	1	2	NA	1	15	NA	6	NA	NA	2	NA
miR-1248	1	NA	3	NA	1	1	2	2	11	2	1	1	NA	1
miR-1249	1	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	NA
miR-1254	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
miR-1255a	1	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA
miR-1255b-5p	1	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA
miR-125a-3p	2	NA	NA	NA	1	2	NA	1	3	NA	1	2	2	4
miR-125a-5p	562	251	21	355	300	310	22	344	1421	382	552	142	167	23
miR-125b-2-3p	5	NA	NA	12	1	6	4	1	28	5	15	2	1	1
miR-125b-5p	981	213	199	867	222	688	131	234	4366	684	1504	216	185	82
miR-126-3p	1203	983	321	433	787	416	256	588	548	846	207	179	285	198
miR-126-5p	206	276	80	95	222	99	77	142	193	193	82	70	90	105
miR-127-3p	27	13	1	20	17	17	1	20	86	18	33	17	5	1
miR-127-5p	8	6	NA	4	5	6	NA	12	18	5	2	3	5	NA
miR-1273g-3p	15	3	4	4	5	1	9	15	52	NA	8	8	16	6
miR-1277-5p	1	NA	1	3	1	1	1	NA	2	1	2	NA	1	NA
miR-128-3p	485	5	11	517	5	464	12	5	2799	372	1115	277	132	1
miR-1283	182	210	NA	43	158	39	NA	146	NA	123	NA	19	27	NA
miR-1285-3p	1	NA	NA	NA	NA	NA	NA	NA	5	NA	1	1	1	NA
miR-1287-5p	2	1	NA	2	NA	NA	NA	NA	2	NA	NA	NA	NA	1
