V1	Mix1_1	Placenta_1	Liver_1	Mix2_1	Placenta_2	Mix2_2	Liver_2	Placenta_3	Brain_1	Mix1_2	Brain_2	Mix2_3	Mix1_3	Liver_3
miR-129-1-3p	19	NA	NA	21	NA	17	NA	NA	122	19	56	20	11	NA
miR-129-2-3p	20	NA	NA	21	NA	17	NA	NA	122	19	56	20	11	NA
miR-129-5p	3	NA	NA	2	NA	1	NA	NA	24	3	3	1	1	NA
miR-1295b-3p	1	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
miR-1296-3p	1	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA
miR-1296-5p	1	NA	NA	4	NA	2	NA	NA	24	4	10	6	1	NA
miR-1301-3p	1	1	NA	3	1	3	NA	NA	10	1	1	3	NA	NA
miR-1307-3p	4	2	NA	6	2	1	1	3	6	2	5	4	1	3
miR-1307-5p	19	3	10	15	11	15	12	9	30	16	12	8	10	4
miR-130a-3p	171	194	21	65	165	72	17	127	127	138	48	62	80	17
miR-130b-3p	3	6	4	1	4	1	3	4	8	6	4	NA	2	NA
miR-130b-5p	2	1	NA	3	NA	1	NA	2	4	3	4	NA	NA	1
miR-132-3p	34	1	1	30	2	35	1	4	166	22	56	21	4	1
miR-132-5p	3	NA	NA	3	NA	3	NA	1	14	1	4	3	2	NA
miR-1323	439	422	NA	148	586	133	NA	371	NA	408	NA	105	196	NA
miR-133a-3p	7	3	NA	3	7	9	1	8	20	3	6	5	7	1
miR-133b	7	3	NA	3	7	9	1	8	20	3	6	5	7	1
miR-134-5p	10	2	NA	10	2	2	NA	3	27	5	7	3	2	NA
miR-135a-5p	93	61	NA	56	32	42	1	38	257	60	116	27	26	1
miR-135b-5p	93	61	NA	56	34	42	1	39	255	60	117	27	26	1
miR-136-3p	48	54	NA	16	27	18	1	29	23	41	16	12	14	2
miR-136-5p	148	169	4	51	146	51	1	85	64	97	41	39	52	1
miR-137	7	NA	NA	11	NA	7	NA	NA	33	4	15	6	5	NA
miR-138-1-3p	1	NA	NA	2	1	2	NA	2	14	1	3	1	NA	NA
miR-138-5p	89	10	NA	103	9	79	1	10	507	57	195	58	41	NA
miR-139-5p	103	10	28	133	8	104	20	14	614	101	259	57	38	17
miR-140-3p	109	46	16	61	58	65	9	54	334	72	131	52	44	27
miR-140-5p	17	18	5	8	6	7	3	11	20	9	14	5	5	3
miR-141-3p	159	167	5	34	129	36	16	94	1	113	NA	19	38	6
miR-141-5p	1	2	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	1	1
miR-142-3p	75	75	26	33	51	17	14	46	20	50	12	9	7	10
miR-142-5p	7	10	5	3	4	4	2	3	2	7	2	4	2	1
miR-143-3p	1498	1547	120	402	1209	357	114	881	261	1021	132	220	311	73
miR-143-5p	14	23	3	5	7	3	1	13	3	9	2	NA	6	1
miR-144-3p	75	132	2	14	95	26	1	37	19	77	13	18	24	NA
miR-144-5p	31	47	NA	10	40	10	NA	38	7	37	4	7	9	NA
miR-145-3p	9	6	3	4	11	3	4	7	3	5	2	1	3	1
miR-145-5p	1849	999	290	547	1178	482	275	1219	726	919	276	300	584	195
miR-146a-3p	76	2	21	20	22	8	40	135	49	15	3	7	14	5
miR-146a-5p	77	21	88	49	19	40	94	13	72	52	40	16	21	80
miR-146b-5p	78	20	88	49	19	40	95	13	72	53	40	16	21	80
miR-148a-3p	56	30	107	23	18	31	102	19	6	56	3	12	21	87
miR-148b-3p	97	84	119	44	51	52	109	57	51	88	15	23	27	92
miR-148b-5p	2	3	NA	NA	3	1	NA	2	2	NA	3	1	NA	1
miR-149-5p	55	26	NA	58	34	40	NA	35	205	34	103	32	32	2
miR-150-5p	9	6	6	8	8	2	5	11	27	6	12	3	7	9
miR-151a-3p	14	8	1	4	5	3	3	8	14	3	4	1	2	1
miR-151a-5p	232	135	63	165	91	148	62	88	757	192	323	86	71	46
miR-152-3p	41	54	18	21	32	21	7	38	45	37	11	11	6	10
miR-152-5p	2	3	NA	NA	3	1	NA	2	2	NA	3	1	NA	1
miR-153-3p	10	NA	NA	2	NA	2	NA	NA	14	1	9	NA	1	NA
miR-154-3p	11	12	NA	7	17	5	NA	7	17	15	3	5	5	NA
miR-154-5p	17	6	NA	10	9	8	NA	11	21	11	14	7	6	NA
miR-15a-5p	284	180	44	117	135	147	56	125	457	233	225	98	95	48
miR-15b-3p	1	NA	NA	NA	NA	2	NA	1	2	1	1	NA	1	2
miR-15b-5p	283	180	44	117	135	146	55	124	452	233	224	96	95	47
miR-16-2-3p	1	5	NA	3	2	1	NA	2	1	5	1	2	NA	NA
miR-16-5p	680	490	222	398	327	393	177	277	1536	571	661	187	188	131
miR-17-3p	6	12	4	9	9	4	5	7	10	7	4	6	4	4
miR-17-5p	414	394	195	199	299	189	238	242	371	382	192	149	192	211
miR-181a-2-3p	11	5	NA	3	4	4	NA	2	12	9	7	9	2	NA
miR-181a-3p	7	7	NA	6	2	6	NA	3	29	7	12	2	7	NA
miR-181a-5p	386	116	12	223	205	184	15	202	1021	242	411	148	103	12
miR-181b-5p	447	117	7	258	230	205	8	210	1184	281	496	167	121	11
miR-181c-3p	7	7	NA	6	2	6	NA	3	28	7	12	2	7	NA
miR-181c-5p	20	5	NA	11	2	12	NA	1	66	11	38	7	6	NA
miR-181d-5p	74	11	NA	45	31	26	2	12	196	49	99	34	26	2
miR-182-5p	5	4	NA	1	1	NA	NA	1	NA	5	NA	NA	2	1
miR-183-5p	1	4	NA	NA	2	2	NA	NA	NA	3	1	1	NA	NA
miR-184	3	3	NA	3	1	2	NA	1	1	3	1	NA	2	NA
miR-185-5p	79	47	12	39	40	30	4	52	135	54	45	22	42	17
miR-186-5p	30	34	9	15	19	19	19	14	32	21	16	18	14	14
miR-187-3p	1	NA	1	NA	NA	NA	NA	NA	7	NA	2	2	NA	NA
miR-188-3p	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA
miR-188-5p	4	4	2	NA	2	4	NA	5	3	NA	1	2	1	NA
miR-18a-5p	27	31	5	8	22	14	5	18	27	30	10	9	11	11
miR-18b-5p	27	31	5	8	22	14	5	18	27	30	10	9	11	11
miR-1908-3p	1	NA	NA	NA	NA	NA	NA	1	1	NA	NA	NA	1	NA
miR-190a-3p	2	NA	NA	1	1	4	NA	NA	6	5	1	1	NA	NA
miR-190a-5p	7	5	NA	6	3	4	NA	2	11	8	2	NA	3	2
miR-190b	1	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA
miR-191-5p	347	225	100	184	210	147	100	225	679	256	293	144	146	98
miR-1910-3p	1	NA	NA	NA	1	NA	NA	1	NA	NA	NA	NA	NA	NA
miR-192-5p	88	8	210	57	5	35	189	9	21	86	13	27	29	185
miR-193a-3p	48	28	12	21	41	20	14	68	17	25	8	20	27	15
miR-193a-5p	8	2	5	3	1	3	2	3	9	5	3	3	2	8
miR-193b-3p	50	28	12	21	43	23	14	70	21	27	10	21	28	16
miR-193b-5p	1	3	NA	NA	1	NA	2	3	1	1	NA	2	1	1
miR-194-3p	1	NA	1	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA
miR-194-5p	81	5	160	38	7	32	126	NA	15	52	7	15	15	88
miR-195-5p	627	439	215	377	290	372	175	252	1476	512	613	180	169	123
miR-196a-5p	7	8	NA	2	5	3	NA	7	NA	7	NA	NA	3	NA
miR-196b-5p	7	8	NA	2	5	3	NA	7	NA	7	NA	NA	4	NA
miR-197-3p	17	4	1	17	5	5	3	7	59	10	22	12	5	2
miR-199a-3p	320	401	104	118	319	117	128	268	17	311	11	61	119	83
miR-199a-5p	103	131	24	24	77	25	34	63	3	75	NA	16	40	18
miR-199b-3p	319	399	104	117	319	117	128	268	17	311	11	61	119	83
miR-199b-5p	60	113	2	18	65	11	1	62	1	49	1	14	15	2
miR-19a-3p	757	753	498	353	453	330	468	317	520	628	224	207	265	393
miR-19b-3p	766	766	507	362	461	335	476	325	519	635	228	209	269	403
miR-200a-3p	157	163	5	34	127	36	17	93	1	111	NA	18	38	6
miR-200b-3p	223	151	14	87	205	80	15	192	2	166	NA	32	55	19
miR-200c-3p	227	154	13	88	210	80	14	196	2	169	NA	33	56	16
miR-203a	43	34	6	12	36	9	5	34	3	34	1	5	14	2
miR-204-3p	3	NA	NA	1	NA	1	NA	NA	6	NA	2	NA	NA	NA
miR-204-5p	63	3	2	95	5	86	5	4	430	65	182	51	17	1
miR-205-5p	155	105	NA	32	148	38	NA	111	NA	111	NA	30	66	NA
miR-20a-5p	186	171	113	88	153	90	139	86	169	208	69	84	111	153
miR-20b-5p	7	13	NA	8	3	3	NA	4	17	7	6	5	5	NA
miR-21-3p	10	5	8	1	2	3	4	2	NA	3	NA	1	1	1
miR-21-5p	1444	1184	590	423	1184	378	483	923	188	1088	95	201	421	562
miR-210-3p	7	4	2	6	2	1	2	6	10	4	5	1	1	1
miR-211-5p	62	3	2	95	5	84	5	4	429	65	182	51	17	1
miR-2114-5p	2	NA	NA	NA	1	NA	1	NA	NA	NA	NA	NA	NA	NA
miR-212-3p	3	1	NA	3	NA	1	1	NA	12	2	9	6	3	NA
miR-214-3p	90	35	29	20	47	20	34	43	10	52	2	13	38	49
miR-214-5p	2	4	2	NA	1	1	1	2	1	3	NA	NA	1	1
miR-215-5p	88	8	210	57	5	35	189	9	21	85	13	27	29	185
miR-218-5p	72	15	1	61	15	69	2	11	289	74	169	43	32	1
miR-219a-2-3p	28	NA	NA	32	NA	40	NA	NA	166	21	65	30	11	NA
miR-219a-5p	20	NA	NA	14	NA	9	NA	NA	51	10	19	12	6	NA
miR-22-3p	120	57	57	50	85	34	82	62	56	82	23	53	65	85
miR-22-5p	21	15	9	8	23	13	6	21	23	19	8	4	9	8
miR-221-3p	206	169	8	58	189	63	11	172	119	147	53	50	51	4
miR-221-5p	3	NA	NA	1	1	2	NA	1	NA	2	NA	1	1	NA
miR-222-3p	140	108	6	59	98	51	6	112	109	105	41	19	23	1
miR-223-3p	109	134	71	48	116	54	68	111	77	137	24	39	63	87
miR-223-5p	1	NA	2	1	1	NA	2	2	2	NA	3	1	NA	2
miR-224-3p	4	5	NA	3	6	3	NA	6	NA	5	NA	1	1	NA
miR-224-5p	69	46	1	10	61	10	3	66	NA	43	NA	10	14	3
miR-23a-3p	2773	1792	496	903	2239	874	525	2131	1203	2065	557	621	1093	399
miR-23a-5p	1	1	NA	NA	1	NA	NA	2	NA	NA	NA	NA	1	NA
miR-23b-3p	2724	1768	489	891	2203	838	501	2064	1184	2003	541	598	1071	387
miR-23b-5p	1	1	NA	NA	NA	NA	NA	NA	1	NA	1	NA	NA	NA
miR-23c	6	1	2	1	1	3	2	1	6	2	1	NA	1	3
miR-24-1-5p	2	1	1	NA	1	1	2	1	1	3	1	1	1	1
miR-24-2-5p	3	14	NA	3	9	1	NA	10	NA	6	NA	2	2	NA
miR-24-3p	1296	1141	183	409	1188	360	230	1301	435	913	204	275	462	217
miR-25-3p	9	3	2	4	4	1	3	5	6	4	3	3	4	5
miR-2681-3p	2	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA
miR-26a-5p	2738	1689	589	1572	1434	1320	553	1166	6127	2024	2536	578	569	352
miR-26b-5p	2707	1674	586	1550	1435	1310	546	1148	6028	2005	2499	568	562	345
miR-27a-3p	2496	2700	271	822	1783	754	277	1338	665	1537	281	394	626	145
miR-27a-5p	1	NA	NA	NA	3	NA	NA	NA	NA	1	NA	1	1	NA
miR-27b-3p	2493	2701	272	823	1782	754	278	1338	665	1535	281	394	626	145
miR-27b-5p	1	NA	NA	1	NA	NA	NA	NA	NA	1	NA	1	NA	1
miR-28-3p	8	8	5	3	3	5	7	5	13	7	4	5	3	3
miR-28-5p	90	63	37	63	49	54	33	35	243	81	99	45	36	35
miR-296-5p	2	1	NA	1	NA	NA	1	2	3	NA	2	1	2	NA
miR-299-3p	8	6	NA	NA	NA	3	NA	4	15	4	4	2	2	NA
miR-299-5p	14	13	NA	12	22	17	NA	8	51	17	21	5	9	2
miR-29a-3p	1162	609	172	596	467	704	233	472	2592	888	1299	489	337	177
miR-29a-5p	4	3	NA	2	2	2	NA	2	10	2	8	1	1	1
miR-29b-1-5p	5	NA	1	5	NA	1	1	2	5	3	1	NA	NA	NA
miR-29b-2-5p	6	1	NA	5	NA	2	2	2	22	2	4	2	2	NA
miR-29b-3p	845	594	79	460	441	533	161	330	1962	761	917	531	444	125
miR-29c-3p	1997	1198	249	1048	901	1227	389	794	4536	1642	2205	1013	778	302
miR-29c-5p	38	11	3	35	6	32	15	8	143	24	73	7	10	8
miR-300	44	44	3	20	28	21	NA	28	89	39	45	14	13	2
miR-301a-3p	7	5	NA	3	3	1	NA	3	17	6	2	2	2	NA
miR-301b	7	4	NA	3	3	1	NA	3	17	6	2	2	2	NA
miR-3065-3p	2	1	2	NA	NA	NA	1	NA	2	NA	NA	NA	NA	NA
miR-3065-5p	5	1	1	NA	NA	NA	2	NA	4	1	1	1	NA	2
miR-30a-3p	13	9	3	6	5	8	1	8	18	12	7	5	3	4
miR-30a-5p	1979	1745	359	790	1467	709	378	1452	1626	1575	744	487	772	323
miR-30b-3p	3	3	1	2	3	1	1	NA	1	3	NA	2	NA	1
miR-30b-5p	1337	1451	345	611	938	606	385	677	1442	1083	688	352	376	195
miR-30c-1-3p	1	NA	NA	1	NA	1	NA	NA	NA	NA	1	NA	NA	NA
miR-30c-5p	1334	1452	345	611	939	608	386	670	1445	1080	687	353	377	194
miR-30d-5p	1893	1663	329	731	1430	657	308	1400	1463	1492	664	450	744	283
miR-30e-3p	13	9	3	6	5	8	1	8	18	12	7	5	3	4
miR-30e-5p	90	79	30	58	34	50	73	51	170	84	77	36	28	42
miR-31-3p	3	2	NA	2	3	3	NA	NA	11	8	5	1	NA	1
miR-31-5p	28	7	1	26	10	23	1	12	138	28	63	13	12	NA
miR-3157-5p	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
miR-3194-5p	1	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA
miR-32-5p	13	8	1	1	9	2	1	4	4	13	1	3	1	1
miR-3200-3p	1	NA	NA	3	NA	2	NA	1	2	1	2	NA	1	NA
miR-320a	172	76	22	77	131	49	18	209	201	122	85	48	58	28
miR-320b	27	12	2	7	26	4	1	25	12	12	6	4	7	NA
miR-320c	147	66	20	70	107	45	17	186	193	116	79	44	55	28
miR-323a-3p	19	5	NA	17	5	21	NA	12	100	15	42	9	8	NA
miR-323a-5p	1	NA	NA	NA	NA	1	NA	NA	3	1	1	NA	NA	NA
miR-323b-3p	1	NA	NA	2	NA	1	NA	1	10	NA	1	2	NA	NA
miR-324-3p	14	2	4	6	6	10	6	5	52	5	25	13	10	4
miR-324-5p	38	22	3	34	20	33	3	21	109	27	44	16	14	2
miR-326	5	1	NA	2	1	6	NA	2	25	2	13	4	1	1
miR-328-3p	1	1	NA	1	NA	NA	1	NA	20	NA	4	1	2	NA
miR-329-3p	32	21	1	17	15	24	NA	11	111	24	38	21	10	NA
miR-330-3p	1	NA	NA	6	NA	3	NA	3	26	1	18	3	1	NA
miR-330-5p	5	1	NA	2	NA	1	NA	1	14	3	7	5	NA	NA
miR-331-3p	1	1	NA	2	NA	2	1	2	12	NA	12	1	NA	NA
miR-335-3p	7	9	NA	2	2	2	NA	1	1	7	1	NA	2	NA
miR-335-5p	365	596	18	94	385	140	14	267	121	312	69	54	121	9
miR-337-3p	16	26	2	4	16	6	2	13	2	11	2	6	8	NA
miR-337-5p	25	15	1	5	18	4	3	9	NA	5	2	3	2	1
miR-338-3p	90	1	NA	93	1	95	NA	NA	421	86	147	50	26	NA
miR-338-5p	12	NA	NA	22	NA	15	NA	NA	90	20	29	9	2	NA
miR-339-3p	2	1	NA	3	NA	1	NA	1	10	NA	NA	NA	1	NA
miR-339-5p	12	11	3	8	9	5	1	18	20	9	2	3	7	3
miR-33a-3p	3	1	NA	NA	NA	5	1	2	11	4	4	2	2	2
miR-33a-5p	13	4	5	7	1	17	6	NA	59	12	29	19	5	10
miR-33b-5p	13	4	5	7	1	17	6	NA	59	12	29	19	5	10
miR-340-3p	3	1	2	NA	NA	5	NA	3	28	6	4	NA	NA	2
miR-340-5p	25	10	13	30	11	27	22	7	121	26	59	16	7	8
miR-342-3p	111	24	21	110	31	93	27	22	664	102	277	75	40	24
miR-342-5p	1	1	NA	5	NA	2	NA	1	5	NA	1	3	NA	NA
miR-345-5p	6	4	7	9	3	4	13	8	35	8	13	5	4	7
miR-34a-3p	3	2	2	4	4	1	1	5	5	2	1	NA	3	1
miR-34a-5p	102	59	38	60	48	58	74	43	179	80	83	75	41	44
miR-34b-5p	13	14	NA	5	12	7	1	10	23	8	12	3	7	NA
miR-34c-3p	2	1	NA	NA	1	NA	NA	1	4	1	NA	1	1	NA
miR-34c-5p	13	14	NA	5	12	7	1	10	24	8	12	3	7	NA
miR-3591-5p	1	NA	10	2	NA	NA	5	NA	NA	4	NA	3	3	4
miR-3607-3p	151	8	126	72	54	43	95	210	334	75	54	36	89	33
miR-3607-5p	161	9	130	75	54	45	98	217	342	75	58	39	92	36
miR-3609	1	NA	NA	NA	NA	1	2	1	NA	NA	NA	NA	2	NA
miR-361-3p	18	8	4	11	8	10	2	3	69	11	26	9	10	4
miR-361-5p	37	21	7	14	18	21	9	22	76	29	31	11	17	5
miR-3611	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
miR-3613-3p	1	NA	NA	3	1	1	NA	2	NA	2	NA	NA	NA	3
miR-3613-5p	9	2	3	2	9	NA	1	3	4	8	2	NA	NA	NA
miR-3614-3p	1	1	NA	NA	1	NA	NA	1	NA	NA	NA	NA	1	NA
miR-3614-5p	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
miR-3615	1	NA	NA	NA	NA	NA	NA	NA	5	1	2	1	NA	1
miR-362-3p	10	16	5	2	13	8	1	5	1	10	5	1	3	3
miR-362-5p	2	4	NA	NA	1	NA	NA	NA	NA	NA	NA	2	NA	NA
miR-363-3p	10	5	NA	2	3	NA	1	3	4	3	NA	3	NA	NA
miR-365a-3p	160	110	108	71	91	74	133	67	120	133	64	50	56	138
miR-365a-5p	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
miR-365b-3p	160	110	108	71	91	74	133	67	120	133	64	50	56	138
miR-369-3p	17	25	2	6	23	5	1	18	12	20	6	5	5	1
miR-369-5p	8	5	NA	1	8	2	1	5	10	6	2	NA	5	NA
miR-370-3p	3	2	NA	2	1	NA	NA	1	11	2	10	NA	2	NA
miR-371a-5p	6	2	NA	NA	3	2	NA	8	NA	2	NA	1	2	NA
miR-371b-3p	7	NA	5	3	NA	3	1	5	12	1	4	4	3	4
miR-372-3p	16	11	NA	1	13	2	NA	13	NA	6	NA	4	2	NA
miR-373-3p	7	7	NA	2	8	4	NA	7	NA	4	NA	1	6	NA
miR-374a-5p	14	17	4	10	12	7	2	8	25	17	11	6	2	4
miR-374b-3p	2	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	1
miR-374b-5p	41	37	14	36	29	36	11	31	111	49	59	21	12	10
miR-374c-3p	2	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	1
miR-374c-5p	27	20	10	27	18	28	8	22	82	32	48	15	10	6
miR-376a-2-5p	6	5	NA	3	5	NA	NA	3	NA	2	NA	NA	NA	NA
miR-376a-3p	435	553	13	182	439	172	28	348	270	341	141	129	195	17
miR-376a-5p	32	37	1	16	22	12	1	22	26	15	14	6	8	NA
miR-376b-3p	52	83	1	21	55	22	3	36	31	30	16	12	28	2
miR-376b-5p	12	21	1	8	14	2	NA	2	3	12	1	3	6	1
miR-376c-3p	392	478	12	164	393	151	26	318	245	319	129	120	170	15
miR-376c-5p	7	13	NA	5	10	2	NA	1	2	7	1	2	3	1
miR-377-3p	6	4	NA	3	2	3	NA	5	3	NA	NA	2	2	NA
miR-377-5p	1	NA	NA	1	2	NA	NA	NA	1	1	NA	NA	1	NA
miR-378a-3p	63	37	92	47	31	28	79	35	46	50	20	23	32	90
miR-378a-5p	4	1	4	3	2	3	4	NA	9	4	1	2	NA	4
miR-378c	18	16	23	11	12	12	23	7	15	6	5	6	13	33
miR-378d	47	21	69	36	19	16	55	28	31	46	15	17	21	57
miR-378g	1	NA	NA	NA	NA	NA	2	NA	1	NA	NA	NA	NA	1
miR-379-3p	6	4	NA	4	7	1	NA	4	4	7	4	NA	4	NA
miR-379-5p	44	22	2	19	21	20	2	16	90	28	25	11	11	1
miR-380-3p	2	5	NA	6	2	5	1	NA	22	2	12	2	1	NA
miR-381-3p	45	45	3	20	28	21	NA	29	88	40	45	14	13	2
miR-381-5p	4	3	NA	NA	2	1	NA	2	6	3	4	3	1	NA
miR-382-3p	6	4	1	5	7	6	NA	3	7	5	4	NA	2	NA
miR-382-5p	12	6	NA	4	12	3	1	23	27	13	6	5	2	NA
miR-383-5p	4	NA	NA	4	NA	1	NA	NA	19	4	13	3	NA	NA
miR-3909	2	1	NA	NA	NA	1	NA	NA	3	1	NA	NA	NA	NA
miR-3912-3p	1	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA
miR-3960	1	NA	NA	1	NA	NA	NA	NA	5	NA	3	3	1	1
miR-409-3p	11	3	NA	6	13	7	NA	7	12	5	6	1	6	1
miR-409-5p	8	2	NA	4	5	1	NA	4	10	7	4	4	3	NA
miR-410-3p	2	4	NA	2	3	1	NA	4	2	3	3	NA	1	NA
miR-411-3p	6	4	NA	4	7	1	NA	4	4	7	4	NA	4	NA
miR-411-5p	18	23	2	12	17	13	1	12	39	22	20	2	4	NA
miR-421	5	1	1	3	3	4	NA	3	12	1	4	5	3	1
miR-423-3p	41	13	4	25	14	17	13	34	76	23	48	12	9	11
miR-423-5p	25	6	3	7	11	6	5	12	15	9	13	5	4	5
miR-424-3p	19	11	NA	5	25	6	1	13	1	8	2	3	6	NA
miR-424-5p	1423	1739	59	359	1865	342	47	1303	19	1209	6	294	608	54
miR-425-3p	3	1	NA	NA	2	1	NA	2	11	2	1	NA	NA	NA
miR-425-5p	37	25	4	17	23	10	6	30	64	24	20	3	8	7
miR-429	5	1	1	3	NA	1	5	NA	1	1	NA	2	NA	4
miR-431-5p	13	12	NA	4	14	2	NA	9	NA	9	1	2	1	NA
miR-432-5p	8	7	1	4	5	2	NA	4	11	2	4	2	5	NA
